Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,BED034.A0102,Ypestis_ASM906v1,BED034.A0102,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,Bolgar_2370,Ypestis_ASM906v1,Bolgar_2370,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,BRA001.A0101,Ypestis_ASM906v1,BRA001.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,C10091,Ypestis_ASM906v1,C10091,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,C10098,Ypestis_ASM906v1,C10098,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,C10928,Ypestis_ASM906v1,C10928,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,CHC004,Ypestis_ASM906v1,CHC004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,DSH008,Ypestis_ASM906v1,DSH008,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,DSH025,Ypestis_ASM906v1,DSH025,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,EDI001.A,Ypestis_ASM906v1,EDI001.A,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,Ellwangen_549_O,Ypestis_ASM906v1,Ellwangen_549_O,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,ES_11972,Ypestis_ASM906v1,ES_11972,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,ES_8291,Ypestis_ASM906v1,ES_8291,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,GEN72,Ypestis_ASM906v1,GEN72,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,GLZ001,Ypestis_ASM906v1,GLZ001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,GLZ002,Ypestis_ASM906v1,GLZ002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,Gok2,Ypestis_ASM906v1,Gok2,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,GRH001,Ypestis_ASM906v1,GRH001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,GRS004,Ypestis_ASM906v1,GRS004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,Gyvakarai1,Ypestis_ASM906v1,Gyvakarai1,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,HGC009,Ypestis_ASM906v1,HGC009,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,HGC068,Ypestis_ASM906v1,HGC068,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,HOP001,Ypestis_ASM906v1,HOP001,0,0
